date_key,datetime,year,month,day,hour,time_of_day,quarter,week,day_of_week,season,is_weekend_or_holiday
101,2021-01-05 04:00:00,2021,1,5,4,Night,1,1,1,Winter,False
102,2021-01-05 05:00:00,2021,1,5,5,Morning,1,1,1,Winter,False
103,2021-01-05 06:00:00,2021,1,5,6,Morning,1,1,1,Winter,False
104,2021-01-05 07:00:00,2021,1,5,7,Morning,1,1,1,Winter,False
105,2021-01-05 08:00:00,2021,1,5,8,Morning,1,1,1,Winter,False
106,2021-01-05 09:00:00,2021,1,5,9,Morning,1,1,1,Winter,False
107,2021-01-05 10:00:00,2021,1,5,10,Morning,1,1,1,Winter,False
108,2021-01-05 11:00:00,2021,1,5,11,Morning,1,1,1,Winter,False
109,2021-01-05 12:00:00,2021,1,5,12,Afternoon,1,1,1,Winter,False
110,2021-01-05 13:00:00,2021,1,5,13,Afternoon,1,1,1,Winter,False
111,2021-01-05 14:00:00,2021,1,5,14,Afternoon,1,1,1,Winter,False
112,2021-01-05 15:00:00,2021,1,5,15,Afternoon,1,1,1,Winter,False
113,2021-01-05 16:00:00,2021,1,5,16,Afternoon,1,1,1,Winter,False
114,2021-01-05 17:00:00,2021,1,5,17,Afternoon,1,1,1,Winter,False
115,2021-01-05 18:00:00,2021,1,5,18,Evening,1,1,1,Winter,False
116,2021-01-05 19:00:00,2021,1,5,19,Evening,1,1,1,Winter,False
117,2021-01-05 20:00:00,2021,1,5,20,Evening,1,1,1,Winter,False
118,2021-01-05 21:00:00,2021,1,5,21,Night,1,1,1,Winter,False
119,2021-01-05 22:00:00,2021,1,5,22,Night,1,1,1,Winter,False
120,2021-01-05 23:00:00,2021,1,5,23,Night,1,1,1,Winter,False
121,2021-01-06 00:00:00,2021,1,6,0,Night,1,1,2,Winter,False
122,2021-01-06 01:00:00,2021,1,6,1,Night,1,1,2,Winter,False
123,2021-01-06 02:00:00,2021,1,6,2,Night,1,1,2,Winter,False
124,2021-01-06 03:00:00,2021,1,6,3,Night,1,1,2,Winter,False
125,2021-01-06 04:00:00,2021,1,6,4,Night,1,1,2,Winter,False
126,2021-01-06 05:00:00,2021,1,6,5,Morning,1,1,2,Winter,False
127,2021-01-06 06:00:00,2021,1,6,6,Morning,1,1,2,Winter,False
128,2021-01-06 07:00:00,2021,1,6,7,Morning,1,1,2,Winter,False
129,2021-01-06 08:00:00,2021,1,6,8,Morning,1,1,2,Winter,False
130,2021-01-06 09:00:00,2021,1,6,9,Morning,1,1,2,Winter,False
131,2021-01-06 10:00:00,2021,1,6,10,Morning,1,1,2,Winter,False
132,2021-01-06 11:00:00,2021,1,6,11,Morning,1,1,2,Winter,False
133,2021-01-06 12:00:00,2021,1,6,12,Afternoon,1,1,2,Winter,False
134,2021-01-06 13:00:00,2021,1,6,13,Afternoon,1,1,2,Winter,False
135,2021-01-06 14:00:00,2021,1,6,14,Afternoon,1,1,2,Winter,False
136,2021-01-06 15:00:00,2021,1,6,15,Afternoon,1,1,2,Winter,False
137,2021-01-06 16:00:00,2021,1,6,16,Afternoon,1,1,2,Winter,False
138,2021-01-06 17:00:00,2021,1,6,17,Afternoon,1,1,2,Winter,False
139,2021-01-06 18:00:00,2021,1,6,18,Evening,1,1,2,Winter,False
140,2021-01-06 19:00:00,2021,1,6,19,Evening,1,1,2,Winter,False
141,2021-01-06 20:00:00,2021,1,6,20,Evening,1,1,2,Winter,False
142,2021-01-06 21:00:00,2021,1,6,21,Night,1,1,2,Winter,False
143,2021-01-06 22:00:00,2021,1,6,22,Night,1,1,2,Winter,False
144,2021-01-06 23:00:00,2021,1,6,23,Night,1,1,2,Winter,False
145,2021-01-07 00:00:00,2021,1,7,0,Night,1,1,3,Winter,False
146,2021-01-07 01:00:00,2021,1,7,1,Night,1,1,3,Winter,False
147,2021-01-07 02:00:00,2021,1,7,2,Night,1,1,3,Winter,False
148,2021-01-07 03:00:00,2021,1,7,3,Night,1,1,3,Winter,False
149,2021-01-07 04:00:00,2021,1,7,4,Night,1,1,3,Winter,False
150,2021-01-07 05:00:00,2021,1,7,5,Morning,1,1,3,Winter,False
151,2021-01-07 06:00:00,2021,1,7,6,Morning,1,1,3,Winter,False
